Player,Rk,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Evan Ferguson,176,ieIRL,FW,West Ham,20-187,2004,1.6,0,0,0,1,2,0,0,1,0,0,0,0,8,5,8,38.5,Matches
Evanilson,168,brBRA,FW,Bournemouth,25-200,1999,21.1,0,0,0,28,40,16,0,0,9,5,0,0,55,38,55,40.9,Matches
Ezri Konsa,285,engENG,DF,Aston Villa,27-183,1997,28.6,0,0,0,6,42,0,5,21,17,0,0,0,86,27,21,56.3,Matches
Fabian Schär,455,chSUI,DF,Newcastle Utd,33-125,1991,27.7,7,1,0,31,12,4,9,40,19,0,0,0,121,36,59,37.9,Matches
Fabio Carvalho,85,ptPOR,"FW,MF",Brentford,22-237,2002,5.1,1,0,0,5,10,1,10,3,9,0,0,0,30,2,6,25.0,Matches
Facundo Buonanotte,74,arARG,"FW,MF",Leicester City,20-122,2004,15.9,7,0,0,33,32,3,41,10,28,0,0,0,75,16,33,32.7,Matches
Federico Chiesa,95,itITA,FW,Liverpool,27-181,1997,0.4,0,0,0,2,1,0,2,0,0,0,0,0,4,0,0,N/a,Matches
Ferdi Kadioglu,269,trTUR,"DF,MF",Brighton,25-199,1999,4.3,1,0,0,5,3,1,9,8,6,0,0,0,14,3,1,75.0,Matches
Filip Jørgensen,268,dkDEN,GK,Chelsea,23-008,2002,6.0,0,0,0,1,1,0,0,0,0,0,1,0,5,0,0,N/a,Matches
Flynn Downes,147,engENG,MF,Southampton,26-094,1999,18.9,10,0,0,44,31,0,3,30,22,0,0,0,69,11,12,47.8,Matches
Frank Onyeka,393,ngNGA,MF,Brentford,27-113,1998,0.3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,N/a,Matches
Fraser Forster,185,engENG,GK,Tottenham,37-038,1988,7.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
Gabriel Jesus,256,brBRA,FW,Arsenal,28-021,1997,6.8,4,0,0,14,10,9,7,4,6,0,0,0,28,9,18,33.3,Matches
Gabriel Magalhães,315,brBRA,DF,Arsenal,27-126,1997,26.3,4,0,0,19,19,0,9,16,15,1,0,0,63,53,37,58.9,Matches
Gabriel Martinelli,325,brBRA,"FW,MF",Arsenal,23-310,2001,21.7,1,0,0,14,19,8,80,4,14,0,0,0,70,14,29,32.6,Matches
